name,code,userType,category,description
Manage Investment,MANAGE_INVESTMENT,CORPORATE,,Manage Investment menu
Manage Service Request,MANAGE_SERV_REQ,CORPORATE,,Manage Service Request menu
Track Service Request,TRACK_SERV_REQ,CORPORATE,,Track Service Request Menu
Make Service Requests,MAKE_SERV_REQ,CORPORATE,,Make Service Requests Menu
Corporate User Settings,CORP_USER_SETTINGS,CORPORATE,,Corporate User Settings Menu
Set Alert Preference,SET_ALERT_PREFERENCE,CORPORATE,,Set Alert Preference Menu
Corporate Change Password,CORP_CHANGE_PASSWORD,CORPORATE,,Change Password Menu 
Synchronise Token,CORP_SYNC_TOKEN,CORPORATE,,Synchronise Token Menu
Report Lost Token,CORP_LOST_TOKEN,CORPORATE,,Report Lost Token Menu
Manage Beneficiary,MANAGE_BEN,CORPORATE,,Manage Beneficiary Menu
Mailbox,CORP_MAILBOX,CORPORATE,,Mailbox menu
Add new Approve new authorizer,ADD_AUTHORIZER_FROM_CORPORATE_ADMIN,OPERATIONS,,Verify authorizer added by a corporate admin
Add Permission,ADD_PERMISSION,ADMIN,,Add a permission
Update Permission,UPDATE_PERMISSION,ADMIN,,Update a permission
Delete Permission,DELETE_PERMISSION,ADMIN,,Delete a permission
View Audit,VIEW_AUDIT,ADMIN,,View audits
Manage Content,MANAGE_CONTENT,ADMIN,,Manage content
View Ops Verifications,VIEW_OPS_VERIFICATIONS,OPERATIONS,,View verifications on Operations console
View Admin Verifications,VIEW_ADMIN_VERIFICATIONS,ADMIN,,View verifications on Admin console
Verify updated Corporate user,UPDATE_USER_FROM_CORPORATE_ADMIN,OPERATIONS,,Verify corporate user updated by corporate Admin
Change Admin Activation Status,UPDATE_ADMIN_STATUS,ADMIN,,Change Admin Activation Status
Change Ops Activation Status,UPDATE_OPS_STATUS,ADMIN,,Change Ops Activation Status
Manage Account,MANAGE_ACCOUNT,CORPORATE,,View Account menu
Customise Account,CUSTOMIZE_ACCOUNT,CORPORATE,,Customise account menu
Account Settings,ACCOUNT_SETTINGS,CORPORATE,,Account Settings Menu
Account Officer,ACCOUNT_OFFICER,CORPORATE,,Account Officer Menu
Account Statement,ACCOUNT_STATEMENT,CORPORATE,,Account Statement Menu
Create Account,CREATE_ACCOUNT,CORPORATE,,Create Account Menu
Tranfers Menu,MANAGE_TRANSFERS,CORPORATE,,Transfers Menu
